2020-02-29 00:36:52,192 INFO [root] [base.py (__init__:11] - 正在初始化driver对象，driver：<appium.webdriver.webdriver.WebDriver (session="0b4abb34-669b-4a6b-bbbd-65221fb0c2e7")>
2020-02-29 00:37:25,567 INFO [root] [base.py (base_click_ele:25] - ('id', 'com.bjcsxq.chat.carfriend:id/login_btn')元素点击完成
2020-02-29 00:37:25,568 INFO [root] [base.py (base_find_ele:15] - 正在查找:('id', 'com.bjcsxq.chat.carfriend:id/login_btn')元素
2020-02-29 00:37:25,598 INFO [root] [base.py (base_get_ele_attribute:45] - 正在获取:('id', 'com.bjcsxq.chat.carfriend:id/login_btn')元素的属性值
2020-02-29 00:37:25,737 INFO [root] [page_login.py (page_login:30] - 正在调用登录业务方法，账号为，密码为：123
2020-02-29 00:37:25,737 INFO [root] [base.py (base_find_ele:15] - 正在查找:('id', 'com.bjcsxq.chat.carfriend:id/login_phone_et')元素
2020-02-29 00:37:25,777 INFO [root] [base.py (base_input_ele:32] - 正在对('id', 'com.bjcsxq.chat.carfriend:id/login_phone_et')元素进清空击操作
2020-02-29 00:37:26,934 INFO [root] [base.py (base_input_ele:35] - 正在对:('id', 'com.bjcsxq.chat.carfriend:id/login_phone_et')元素进输入操作，输入内容为:value
2020-02-29 00:37:31,923 INFO [root] [base.py (base_input_ele:37] - ('id', 'com.bjcsxq.chat.carfriend:id/login_phone_et')元素输入操作完成
2020-02-29 00:37:31,923 INFO [root] [base.py (base_find_ele:15] - 正在查找:('id', 'com.bjcsxq.chat.carfriend:id/login_pwd_et')元素
2020-02-29 00:37:31,942 INFO [root] [base.py (base_input_ele:32] - 正在对('id', 'com.bjcsxq.chat.carfriend:id/login_pwd_et')元素进清空击操作
2020-02-29 00:37:35,065 INFO [root] [base.py (base_input_ele:35] - 正在对:('id', 'com.bjcsxq.chat.carfriend:id/login_pwd_et')元素进输入操作，输入内容为:value
2020-02-29 00:37:39,821 INFO [root] [base.py (base_input_ele:37] - ('id', 'com.bjcsxq.chat.carfriend:id/login_pwd_et')元素输入操作完成
2020-02-29 00:37:39,821 INFO [root] [base.py (base_click_ele:22] - 正在对('id', 'com.bjcsxq.chat.carfriend:id/login_btn')元素进行点击操作
2020-02-29 00:37:39,822 INFO [root] [base.py (base_find_ele:15] - 正在查找:('id', 'com.bjcsxq.chat.carfriend:id/login_btn')元素
2020-02-29 00:37:43,505 INFO [root] [base.py (base_click_ele:25] - ('id', 'com.bjcsxq.chat.carfriend:id/login_btn')元素点击完成
2020-02-29 00:37:43,505 INFO [root] [base.py (base_find_ele:15] - 正在查找:('id', 'com.bjcsxq.chat.carfriend:id/login_btn')元素
2020-02-29 00:37:43,532 INFO [root] [base.py (base_get_ele_attribute:45] - 正在获取:('id', 'com.bjcsxq.chat.carfriend:id/login_btn')元素的属性值
